hostname,id,location,family,platformId,role,serialNumber,upTime,errorCode
PTT-TH-HO-B1-FL16-AP3802I-3,924645e0-2ee9-48ca-96b3-bd727b667163,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABV1,"35 days, 04:15:28.200",null
PTT-TH-HO-B1-FL16-AP3802I-4,36f0b56a-3c4c-49e6-87b9-238ae1125ead,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC7S,"69 days, 01:23:40.570",null
PTT-TH-HO-B1-FL16-AP3802I-5,0c09e938-3cb5-4139-b9f1-d3f811364160,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWT,"69 days, 01:23:53.560",null
PTT-TH-HO-B1-FL16-AP3802I-6,10579137-f31e-4c87-8efd-832dda573023,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACBK,"69 days, 01:27:57.480",null
PTT-TH-HO-B1-FL16-AP3802I-7,a8807f01-5c42-4fd3-8f41-4e63b8d4be99,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC0X,"69 days, 01:27:40.530",null
PTT-TH-HO-B1-FL16-AP3802I-8,67963633-0e5f-42c4-ba0f-94183d6f1149,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACBE,"69 days, 02:02:40.410",null
PTT-TH-HO-B1-FL17-AP3802I-1,89e2949d-dd7a-4ef5-989a-15fb9a4fe010,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC28,"69 days, 01:26:06.430",null
PTT-TH-HO-B1-FL17-AP3802I-2,c3257c95-f176-4aaf-af18-5a0faf1a85df,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC7R,"69 days, 01:27:48.480",null
PTT-TH-HO-B1-FL17-AP3802I-3,24130bf6-d59e-46a2-9b3d-ffa0cba5115a,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACCF,"69 days, 01:28:48.410",null
PTT-TH-HO-B1-FL17-AP3802I-4,d20692d0-93a7-4a9f-bfbc-99ab3383b38b,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACCN,"69 days, 01:22:41.680",null
PTT-TH-HO-B1-FL17-AP3802I-5,a7bdd745-ec44-41b7-a458-b9a0642a5b28,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACAB,"69 days, 01:24:31.250",null
PTT-TH-HO-B1-FL17-AP3802I-6,51357527-c779-4e68-b706-8b078191e5f4,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1J,"69 days, 01:20:59.520",null
PTT-TH-HO-B1-FL17-AP3802I-7,45f20e3d-9143-4716-8620-9f2a46d120e3,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1V,"69 days, 01:29:28.510",null
PTT-TH-HO-B1-FL17-AP3802I-8,a4805fa3-ac69-4438-86eb-b508f09c7102,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACAA,"69 days, 01:23:33.570",null
PTT-TH-HO-B1-FL18-AP3802I-1,4dc0dd97-abf3-446d-8d54-d2c4064d5f31,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACAC,"69 days, 01:29:18.400",null
PTT-TH-HO-B1-FL18-AP3802I-2,175bc4e7-346d-4d73-af48-d78eb214e895,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACBN,"41 days, 02:21:59.650",null
PTT-TH-HO-B1-FL18-AP3802I-3,644b8ca6-1dce-4952-8a89-a82aa85851f2,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC6V,"69 days, 01:25:16.560",null
PTT-TH-HO-B1-FL18-AP3802I-4,72185fef-73b9-405f-b4d9-98f0a2a447bd,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1Z,"69 days, 01:26:24.460",null
PTT-TH-HO-B1-FL18-AP3802I-5,0003de1a-714e-4fd4-bb48-c35f04279b0f,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC90,"69 days, 01:28:14.390",null
PTT-TH-HO-B1-FL18-AP3802I-6,72e0687d-16b8-4231-bbbb-048278e9c066,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABXE,"69 days, 01:30:09.510",null
PTT-TH-HO-B1-FL18-AP3802I-7,21384d1c-df43-4e24-a3f3-3914e1dc1ac0,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABX6,"69 days, 01:27:22.240",null
PTT-TH-HO-B1-FL18-AP3802I-8,7b702908-1a2b-4d7f-b65e-7dfb4f59ae16,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC16,"69 days, 01:27:50.530",null
PTT-TH-HO-B1-FL19-AP3802I-1,ada7d161-8b14-4f1c-98d2-282720b101b3,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC8W,"69 days, 01:20:38.270",null
PTT-TH-HO-B1-FL19-AP3802I-2,47ce0600-ec8f-4964-a896-5f71c81d2768,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABV7,"69 days, 01:29:59.430",null
PTT-TH-HO-B1-FL19-AP3802I-3,f9e7025c-5241-42c4-b11d-8ac4a95b65ec,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABTY,"69 days, 01:28:58.370",null
PTT-TH-HO-B1-FL19-AP3802I-4,e9ca8ffd-3feb-4e1e-b33c-8752e506056d,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABXG,"69 days, 01:29:05.650",null
PTT-TH-HO-B1-FL19-AP3802I-5,3d5c5f58-f700-4358-bb5d-6d211b84bae2,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1G,"69 days, 01:27:48.530",null
PTT-TH-HO-B1-FL19-AP3802I-6,e5700ed4-d5c4-4865-87b2-28e572c6676d,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABY1,"69 days, 01:26:30.350",null
PTT-TH-HO-B1-FL19-AP3802I-7,81f59a81-34fb-46b3-9f11-44e2c265400b,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABX1,"69 days, 01:29:25.640",null
PTT-TH-HO-B1-FL19-AP3802I-8,ef285f8f-0a2d-47d3-ad39-1840c21e1691,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC19,"69 days, 01:29:07.640",null
PTT-TH-HO-B1-FL1-AP3802I-1,3c276db7-d5f7-41d6-9f5d-fbbfe5c4138b,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWR,"69 days, 01:28:15.610",null
