hostname,id,location,family,platformId,role,serialNumber,upTime,errorCode
PTT-TH-HO-B1-FL1-AP3802I-3,81c8f1e8-9d69-401b-b7e0-70a98e47f622,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABW8,15days 20:12:46.450,null
PTT-TH-HO-B1-FL1-AP3802I-4,0e63dc24-1f36-424d-846d-328a4441ea0b,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABX8,109days 20:16:29.770,null
PTT-TH-HO-B1-FL1-AP3802I-5,e6378039-ce70-4f17-a13b-a9eb33460189,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACA1,15days 20:12:27.960,null
PTT-TH-HO-B1-FL1-AP3802I-6,24744f10-d724-42dc-bbb1-491e41d27b4e,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACEE,15days 20:14:22.070,null
PTT-TH-HO-B1-FL1-AP3802I-7,77b3abb7-47a8-4be4-8963-e8e1f53e6cb8,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC96,11days 00:17:57.860,null
PTT-TH-HO-B1-FL1-AP3802I-8,a39e21e8-eca4-406b-9f55-a50fce0e2bff,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC9A,9days 00:08:42.660,null
PTT-TH-HO-B1-FL20-AP3802I-1,bdc0fd7c-6f10-4d64-8bb6-982af9c8671e,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACDL,109days 20:16:39.970,null
PTT-TH-HO-B1-FL20-AP3802I-2,59cfe1e5-ae09-45e6-b819-ffc8fabf4976,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1T,15days 20:07:32.600,null
PTT-TH-HO-B1-FL20-AP3802I-3,e2477262-59de-48fe-8784-bc1cf9d0a864,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABVJ,109days 20:20:04.600,null
PTT-TH-HO-B1-FL20-AP3802I-4,f029d73f-65d9-4a6b-8db0-90e82dc379c7,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC63,19days 20:14:20.180,null
PTT-TH-HO-B1-FL20-AP3802I-5,3c60b1dc-0e29-4bc2-8143-e4695306996b,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC66,15days 20:19:23.250,null
PTT-TH-HO-B1-FL20-AP3802I-6,63e398ce-5324-432e-8ac0-31330b96edb0,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABV5,15days 20:16:40.860,null
PTT-TH-HO-B1-FL20-AP3802I-7,78f82a29-5dac-48cf-a3aa-12eb92492838,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWC,13days 20:13:28.780,null
PTT-TH-HO-B1-FL20-AP3802I-8,04ed25d9-04be-42e0-b5b8-922853e879cb,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABZR,15days 20:14:43.060,null
PTT-TH-HO-B1-FL21-AP3802I-1,0f06e670-6f4e-4477-9e8a-fae1a1bb11e5,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABZP,15days 20:13:09.470,null
PTT-TH-HO-B1-FL21-AP3802I-2,627b9bb5-e355-41ab-90a2-e4ce77e02e2d,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACC4,15days 20:11:43.860,null
PTT-TH-HO-B1-FL21-AP3802I-3,41e4bfca-a5aa-4c2f-b83a-a044427ef76a,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC02,9days 20:12:52.370,null
PTT-TH-HO-B1-FL21-AP3802I-4,fa278e1f-c5fb-48e5-a6ba-f96d51278896,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC17,15days 20:16:27.790,null
PTT-TH-HO-B1-FL21-AP3802I-5,17c043df-6d85-4192-98db-f7f3b1f56ba1,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABW1,15days 20:11:19.280,null
PTT-TH-HO-B1-FL21-AP3802I-6,17951026-b5cf-4bed-971c-695f9a508299,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC81,13days 20:07:52.350,null
PTT-TH-HO-B1-FL21-AP3802I-7,1653a2e2-85b2-4a35-a5ec-b4d7cd9a1928,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1F,15days 20:14:05.880,null
PTT-TH-HO-B1-FL21-AP3802I-8,209f392b-b44f-4012-aa66-3a26eaa4d073,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1D,109days 20:16:22.950,null
PTT-TH-HO-B1-FL21-AP3802I-9,a473060f-7bea-477f-82c3-aa37d70d41e6,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABUU,15days 20:10:52.580,null
PTT-TH-HO-B1-FL22-AP3802I-1,73a326c5-313e-45d3-acff-aaabf825005c,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC99,14days 19:38:03.860,null
PTT-TH-HO-B1-FL22-AP3802I-2,88efb3db-8ae8-469a-b05f-1ec954927014,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC98,15days 20:11:26.870,null
PTT-TH-HO-B1-FL22-AP3802I-3,cdef49b8-c26d-4dd8-b676-8b8f6d744afd,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC7Q,15days 20:12:03.050,null
PTT-TH-HO-B1-FL22-AP3802I-4,b9eb44a5-3c53-4ccf-9d12-744ef9da315e,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWD,15days 20:15:24.970,null
PTT-TH-HO-B1-FL22-AP3802I-5,51145087-562e-4615-aa3c-1be2adc9c9e0,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC75,15days 20:13:40.370,null
PTT-TH-HO-B1-FL22-AP3802I-6,c4c09bf8-6f02-4393-ad67-bdad92009caa,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABXC,19days 20:19:26.770,null
PTT-TH-HO-B1-FL22-AP3802I-7,f4e82395-ea4f-44e7-879b-ebc031f6839d,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC0S,15days 20:05:35.260,null
PTT-TH-HO-B1-FL22-AP3802I-8,94df8ab6-1a7e-4808-8062-473c171eeeff,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABUT,15days 20:12:33.650,null
PTT-TH-HO-B1-FL22-AP3802I-9,d45a1bdc-76b6-4752-85c4-11753fcae6bb,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC8S,15days 20:11:56.770,null
PTT-TH-HO-B1-FL23-AP3802I-1,87839552-1099-4398-9a4c-c4cc67ee0909,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABW2,14days 21:16:32.610,null
PTT-TH-HO-B1-FL23-AP3802I-2,9be4e323-f0ce-4cb5-9704-c6837db55408,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC7P,14days 21:20:40.670,null
PTT-TH-HO-B1-FL23-AP3802I-3,3fb436fb-d6c2-4ba1-89df-6c6ec4b8907f,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABXA,14days 21:16:34.170,null
